Family,Category,Stroke,Classifications,Keywords,Styles,Variable Axes,Subsets,Designers,Popularity Rank,Trending Rank,Is Noto,Date Added,Last Modified,Google Fonts URL
Akshar,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque variable variable-font responsive variable-weight hindi devanagari indian english western european extended-latin european,300 | 400 | 500 | 600 | 700,wght: -,devanagari | latin | latin-ext,Tall Chai,316,48,No,2022-03-21,2025-09-08,https://fonts.google.com/specimen/Akshar
Aladin,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Sudtipos,988,1299,No,2011-11-30,2025-09-11,https://fonts.google.com/specimen/Aladin
Alan Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight english western european extended-latin european,300 | 400 | 500 | 600 | 700 | 800 | 900,wght: -,latin | latin-ext,Raphaël Ronot,1379,1378,No,2025-09-17,2025-11-20,https://fonts.google.com/specimen/Alan+Sans
Alata,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european extended-latin european vietnamese well-known common,400,,latin | latin-ext | vietnamese,Spyros Zevelakis | Eben Sorkin,262,1520,No,2019-11-08,2025-09-04,https://fonts.google.com/specimen/Alata
Alatsi,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque cyrillic extended english western european extended-latin european vietnamese,400,,cyrillic-ext | latin | latin-ext | vietnamese,Spyros Zevelakis | Eben Sorkin,635,1838,No,2019-11-07,2025-09-10,https://fonts.google.com/specimen/Alatsi
Albert Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: -,latin | latin-ext,Andreas Rasmussen,171,550,No,2022-06-08,2025-09-11,https://fonts.google.com/specimen/Albert+Sans
Aldrich,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european,400,,latin,MADType,620,1641,No,2011-08-17,2025-06-02,https://fonts.google.com/specimen/Aldrich
Alef,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque hebrew RTL israeli english western european,400 | 700,,hebrew | latin,Hagilda | Mushon Zer-Aviv,522,727,No,2013-05-21,2025-09-04,https://fonts.google.com/specimen/Alef
Alegreya,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone versatile multi-weight flexible italic variable variable-font responsive variable-weight russian cyrillic slavic cyrillic extended greek greek extended english western european extended-latin european vietnamese multilingual international well-known common,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: -,cyrillic | cyrillic-ext | greek | greek-ext | latin | latin-ext | vietnamese,Juan Pablo del Peral | Huerta Tipográfica,220,1915,No,2011-12-19,2025-09-08,https://fonts.google.com/specimen/Alegreya
Alegreya SC,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic russian cyrillic slavic cyrillic extended greek greek extended english western european extended-latin european vietnamese multilingual international,400 | 400i | 500 | 500i | 700 | 700i | 800 | 800i | 900 | 900i,,cyrillic | cyrillic-ext | greek | greek-ext | latin | latin-ext | vietnamese,Juan Pablo del Peral | Huerta Tipográfica,735,1820,No,2011-12-19,2025-09-04,https://fonts.google.com/specimen/Alegreya+SC
Alegreya Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic russian cyrillic slavic cyrillic extended greek greek extended english western european extended-latin european vietnamese multilingual international well-known common,100 | 100i | 300 | 300i | 400 | 400i | 500 | 500i | 700 | 700i | 800 | 800i | 900 | 900i,,cyrillic | cyrillic-ext | greek | greek-ext | latin | latin-ext | vietnamese,Juan Pablo del Peral | Huerta Tipográfica,213,1458,No,2013-12-04,2025-09-10,https://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans SC,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic russian cyrillic slavic cyrillic extended greek greek extended english western european extended-latin european vietnamese multilingual international,100 | 100i | 300 | 300i | 400 | 400i | 500 | 500i | 700 | 700i | 800 | 800i | 900 | 900i,,cyrillic | cyrillic-ext | greek | greek-ext | latin | latin-ext | vietnamese,Juan Pablo del Peral | Huerta Tipográfica,527,344,No,2013-12-04,2025-09-16,https://fonts.google.com/specimen/Alegreya+Sans+SC
Aleo,Serif,Slab Serif,,elegant traditional classic refined literary editorial slab mechanical sturdy strong versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european vietnamese well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: -,latin | latin-ext | vietnamese,Alessio Laiso,285,820,No,2018-12-11,2025-09-16,https://fonts.google.com/specimen/Aleo
Alex Brush,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,374,1187,No,2011-12-19,2025-09-11,https://fonts.google.com/specimen/Alex+Brush
Alexandria,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight arabic RTL middle-east english western european extended-latin european vietnamese,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,wght: -,arabic | latin | latin-ext | vietnamese,Mohamed Gaber | Julieta Ulanovsky,341,934,No,2022-11-03,2025-09-04,https://fonts.google.com/specimen/Alexandria
Alfa Slab One,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european vietnamese popular widely-used,400,,latin | latin-ext | vietnamese,JM Solé,105,615,No,2011-12-19,2025-09-04,https://fonts.google.com/specimen/Alfa+Slab+One
Alice,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone russian cyrillic slavic cyrillic extended english western european extended-latin european,400,,cyrillic | cyrillic-ext | latin | latin-ext,Ksenya Erulevich | Cyreal,413,1692,No,2011-08-10,2025-09-08,https://fonts.google.com/specimen/Alice
Alike,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european extended-latin european,400,,latin | latin-ext | math | symbols,Sveta Sebyakina | Cyreal,883,1974,No,2011-08-24,2025-09-04,https://fonts.google.com/specimen/Alike
Alike Angular,Serif,Serif,Display,elegant traditional classic refined literary editorial transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext | math | symbols,Sveta Sebyakina | Cyreal,1027,1528,No,2011-09-28,2025-09-04,https://fonts.google.com/specimen/Alike+Angular
Alkalami,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone arabic RTL middle-east english western european extended-latin european,400,,arabic | latin | latin-ext,SIL International,1232,939,No,2022-06-09,2025-09-16,https://fonts.google.com/specimen/Alkalami
Alkatra,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention variable variable-font responsive variable-weight bengali bangladeshi indian hindi devanagari indian english western european extended-latin european odia oriya indian,400 | 500 | 600 | 700,wght: -,bengali | devanagari | latin | latin-ext | oriya,Suman Bhandary,1197,1951,No,2023-01-27,2025-09-08,https://fonts.google.com/specimen/Alkatra
Allan,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400 | 700,,latin | latin-ext,Anton Koovit,884,837,No,2010-12-15,2025-09-16,https://fonts.google.com/specimen/Allan
Allerta,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european,400,,latin,Matt McInerney,681,677,No,2010-11-30,2025-09-04,https://fonts.google.com/specimen/Allerta
Allerta Stencil,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european,400,,latin,Matt McInerney,590,1873,No,2010-11-30,2025-09-11,https://fonts.google.com/specimen/Allerta+Stencil
Allison,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  headline hero decorative large-text attention script cursive hand-drawn artistic informal english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,674,214,No,2021-07-02,2025-09-16,https://fonts.google.com/specimen/Allison
Allkin,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention,400,,,Monotype Imaging Inc.,1311,9,No,2026-02-18,2026-02-19,https://fonts.google.com/specimen/Allkin
Allura,Handwriting,,Handwriting | Display,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal headline hero decorative large-text attention english western european extended-latin european vietnamese well-known common,400,,latin | latin-ext | vietnamese,Robert Leuschke,271,1629,No,2012-02-08,2025-09-02,https://fonts.google.com/specimen/Allura
Almarai,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque arabic RTL middle-east english western european popular widely-used,300 | 400 | 700 | 800,,arabic | latin,Boutros Fonts | Mourad Boutros,132,208,No,2019-06-04,2025-09-02,https://fonts.google.com/specimen/Almarai
Almendra,Serif,Serif,Display,elegant traditional classic refined literary editorial transitional oldstyle didone headline hero decorative large-text attention italic english western european extended-latin european,400 | 400i | 700 | 700i,,latin | latin-ext,Ana Sanfelippo,909,238,No,2011-12-19,2025-09-04,https://fonts.google.com/specimen/Almendra
Almendra Display,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Ana Sanfelippo,1427,1901,No,2012-11-12,2025-09-04,https://fonts.google.com/specimen/Almendra+Display
Almendra SC,Serif,Serif,Display,elegant traditional classic refined literary editorial transitional oldstyle didone headline hero decorative large-text attention english western european,400,,latin,Ana Sanfelippo,1378,1475,No,2011-12-19,2025-09-10,https://fonts.google.com/specimen/Almendra+SC
Alumni Sans,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible italic variable variable-font responsive variable-weight russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: -,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Robert Leuschke,228,234,No,2021-06-19,2025-09-02,https://fonts.google.com/specimen/Alumni+Sans
Alumni Sans Collegiate One,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention italic russian cyrillic slavic english western european extended-latin european vietnamese,400 | 400i,,cyrillic | latin | latin-ext | vietnamese,Robert Leuschke,1469,352,No,2022-04-09,2025-09-16,https://fonts.google.com/specimen/Alumni+Sans+Collegiate+One
Alumni Sans Inline One,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention italic english western european extended-latin european vietnamese,400 | 400i,,latin | latin-ext | vietnamese,Robert Leuschke,1648,2243,No,2022-02-24,2025-09-04,https://fonts.google.com/specimen/Alumni+Sans+Inline+One
Alumni Sans Pinstripe,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention italic russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,400 | 400i,,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Robert Leuschke,1471,1835,No,2022-06-08,2025-09-16,https://fonts.google.com/specimen/Alumni+Sans+Pinstripe
Alumni Sans SC,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible italic variable variable-font responsive variable-weight russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: -,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Robert Leuschke,1715,316,No,2025-05-28,2025-09-08,https://fonts.google.com/specimen/Alumni+Sans+SC
Alyamama,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone versatile multi-weight flexible variable variable-font responsive variable-weight arabic RTL middle-east greek english western european extended-latin european,300 | 400 | 500 | 600 | 700 | 800 | 900,wght: -,arabic | greek | latin | latin-ext,Yazeed Omar,1730,40,No,2026-02-18,2026-02-19,https://fonts.google.com/specimen/Alyamama
Amarante,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Karolina Lach,857,1824,No,2012-07-10,2025-09-11,https://fonts.google.com/specimen/Amarante
Amaranth,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic english western european,400 | 400i | 700 | 700i,,latin,Gesine Todt,344,1535,No,2011-05-04,2025-09-04,https://fonts.google.com/specimen/Amaranth
Amarna,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i,wght: -,latin | latin-ext,Ishtār van Looy,1895,762,No,2025-12-08,2026-02-26,https://fonts.google.com/specimen/Amarna
Amatic SC,Handwriting,Sans Serif,Display,personal casual friendly warm handwritten script organic geometric humanist grotesque headline hero decorative large-text attention russian cyrillic slavic hebrew RTL israeli english western european extended-latin european vietnamese well-known common,400 | 700,,cyrillic | hebrew | latin | latin-ext | vietnamese,Vernon Adams | Ben Nathan | Thomas Jockin,226,1725,No,2011-10-12,2025-09-16,https://fonts.google.com/specimen/Amatic+SC
Amethysta,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european,400,,latin,Cyreal,1063,1457,No,2012-01-18,2025-09-10,https://fonts.google.com/specimen/Amethysta
Amiko,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque hindi devanagari indian english western european extended-latin european,400 | 600 | 700,,devanagari | latin | latin-ext,Impallari Type,697,1966,No,2016-03-01,2025-09-16,https://fonts.google.com/specimen/Amiko
Amiri,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic arabic RTL middle-east english western european extended-latin european well-known common,400 | 400i | 700 | 700i,,arabic | latin | latin-ext,Khaled Hosny | Sebastian Kosch,200,270,No,2012-07-30,2025-08-26,https://fonts.google.com/specimen/Amiri
Amiri Quran,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone arabic RTL middle-east english western european,400,,arabic | latin,Khaled Hosny | Sebastian Kosch,1344,141,No,2022-08-10,2025-08-26,https://fonts.google.com/specimen/Amiri+Quran
Amita,Handwriting,Serif,Display,personal casual friendly warm handwritten script organic transitional oldstyle didone headline hero decorative large-text attention hindi devanagari indian english western european extended-latin european,400 | 700,,devanagari | latin | latin-ext,Eduardo Tunni | Brian Bonislawsky,388,1302,No,2015-05-20,2025-09-11,https://fonts.google.com/specimen/Amita
Anaheim,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque variable variable-font responsive variable-weight english western european extended-latin european vietnamese,400 | 500 | 600 | 700 | 800,wght: -,latin | latin-ext | vietnamese,Vernon Adams,1083,2157,No,2012-10-31,2025-09-04,https://fonts.google.com/specimen/Anaheim
Ancizar Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight greek english western european extended-latin european,100 | 1000 | 1000i | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: -,greek | latin | latin-ext,Universidad Nacional de Colombia (UNAL) | César Puertas | Viviana Monsalve | Julián Moncada,1607,2169,No,2025-05-08,2025-09-11,https://fonts.google.com/specimen/Ancizar+Sans
Ancizar Serif,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone versatile multi-weight flexible italic variable variable-font responsive variable-weight greek english western european extended-latin european,300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: -,greek | latin | latin-ext,Universidad Nacional de Colombia (UNAL) | César Puertas | Viviana Monsalve | Julián Moncada,1595,215,No,2025-05-08,2025-09-16,https://fonts.google.com/specimen/Ancizar+Serif
Andada Pro,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic variable variable-font responsive variable-weight english western european extended-latin european vietnamese well-known common,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i,wght: -,latin | latin-ext | vietnamese,Huerta Tipográfica | Carolina Giovagnoli,273,686,No,2021-05-19,2025-09-10,https://fonts.google.com/specimen/Andada+Pro
Andika,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,400 | 400i | 700 | 700i,,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,SIL International,409,932,No,2011-08-10,2025-09-10,https://fonts.google.com/specimen/Andika
Anek Bangla,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width bengali bangladeshi indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: - | wght: -,bengali | latin | latin-ext,Ek Type,332,45,No,2022-02-08,2025-09-16,https://fonts.google.com/specimen/Anek+Bangla
Anek Devanagari,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width hindi devanagari indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: - | wght: -,devanagari | latin | latin-ext,Ek Type,509,28,No,2022-02-08,2025-09-16,https://fonts.google.com/specimen/Anek+Devanagari
Anek Gujarati,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width gujarati indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: - | wght: -,gujarati | latin | latin-ext,Ek Type,1240,235,No,2022-02-08,2025-09-11,https://fonts.google.com/specimen/Anek+Gujarati
Anek Gurmukhi,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width punjabi gurmukhi indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: - | wght: -,gurmukhi | latin | latin-ext,Ek Type,1523,1696,No,2022-02-15,2025-09-04,https://fonts.google.com/specimen/Anek+Gurmukhi
Anek Kannada,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width kannada indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: - | wght: -,kannada | latin | latin-ext,Ek Type,1343,793,No,2022-02-15,2025-09-11,https://fonts.google.com/specimen/Anek+Kannada
Anek Latin,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width english western european extended-latin european vietnamese,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: - | wght: -,latin | latin-ext | vietnamese,Ek Type,630,1713,No,2022-02-15,2025-09-16,https://fonts.google.com/specimen/Anek+Latin
Anek Malayalam,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width english western european extended-latin european malayalam indian,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: - | wght: -,latin | latin-ext | malayalam,Ek Type,986,1745,No,2022-02-15,2025-09-16,https://fonts.google.com/specimen/Anek+Malayalam
Anek Odia,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width english western european extended-latin european odia oriya indian,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: - | wght: -,latin | latin-ext | oriya,Ek Type,1519,782,No,2022-02-08,2025-09-11,https://fonts.google.com/specimen/Anek+Odia
